"AREFNO","Casualty.Class","Casualty.Sex","Casualty.Age","No..of.Casualties","Mode.of.Travel","Accident.Severity","No..of.Vehicles.in.Acc.","Accident.Date","Time","Highway","Road.Type","Speed.Limit","Junction.Detail","Weather","Road.Surface","month","day","hour","Light.Conditions.Banded","ageband"
1190209045,"Driver/Rider","Female",28,2,"Car","Slight",2,"2019-10-02","07:3000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","October","Wednesday",7,"Daylight","20-29"
1190204470,"Driver/Rider","Male",48,2,"Goods Vehicle","Slight",5,"2019-09-10","07:2900","TLRN","Dual CWY",40,"No JUN in 20M","Fine","Road-Dry","September","Tuesday",7,"Daylight","40-49"
1190157502,"Driver/Rider","Male",57,1,"Powered 2 Wheeler","Slight",2,"2019-01-14","06:0200","TLRN","Roundabout",30,"Roundabout","Fine","Road-Dry","January","Monday",6,"Dark","50-59"
1190200038,"Driver/Rider","Male",38,1,"Pedal Cycle","Slight",2,"2019-08-17","09:5500","BOR","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","August","Saturday",9,"Daylight","30-39"
1190155207,"Driver/Rider","Male",34,1,"Taxi","Slight",3,"2019-01-01","04:3000","TLRN","Slip RD",30,"Roundabout","Fine","Road-Dry","January","Tuesday",4,"Dark","30-39"
1190224434,"Driver/Rider","Female",27,1,"Car","Slight",2,"2019-12-11","15:0700","BOR","Single CWY",30,"Other","Raining","Road-Wet","December","Wednesday",15,"Daylight","20-29"
1190205648,"Pedestrian","Male",13,2,"Pedestrian","Serious",2,"2019-09-16","08:0100","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Monday",8,"Daylight","10-19"
1190194045,"Driver/Rider","Female",23,1,"Car","Slight",2,"2019-07-08","16:0000","BOR","Unknown",30,"Other","Fine","Road-Dry","July","Monday",16,"Daylight","20-29"
1190187551,"Driver/Rider","Female",40,3,"Car","Serious",2,"2019-06-16","09:2500","BOR","Single CWY",30,"Other","Fine","Road-Dry","June","Sunday",9,"Daylight","40-49"
1190213998,"Pedestrian","Male",18,1,"Pedestrian","Serious",1,"2019-10-25","16:3500","BOR","Single CWY",30,"Other","Fine","Road-Dry","October","Friday",16,"Daylight","10-19"
1190170756,"Driver/Rider","Male",40,1,"Car","Slight",3,"2019-03-22","18:4200","TLRN","Dual CWY",40,"Other","Fine","Road-Dry","March","Friday",18,"Daylight","40-49"
1190186357,"Driver/Rider","Female",40,1,"Car","Slight",2,"2019-06-10","14:4800","BOR","Single CWY",20,"Crossroads","Raining","Road-Wet","June","Monday",14,"Daylight","40-49"
1190214485,"Driver/Rider","Male",38,1,"Car","Slight",1,"2019-10-27","16:1500","BOR","Single CWY",30,"Other","Other","Road-Dry","October","Sunday",16,"Daylight","30-39"
1190169695,"Driver/Rider","Male",37,3,"Car","Slight",1,"2019-03-17","17:3100","BOR","Single CWY",30,"T/STAG JUN","Other","Road-Wet","March","Sunday",17,"Dark","30-39"
1190212517,"Driver/Rider","Female",43,1,"Powered 2 Wheeler","Serious",2,"2019-10-18","08:3800","TLRN","Dual CWY",40,"No JUN in 20M","Fine","Road-Wet","October","Friday",8,"Daylight","40-49"
1190166395,"Pedestrian","Male",40,1,"Pedestrian","Slight",1,"2019-03-01","22:1000","TLRN","Dual CWY",30,"No JUN in 20M","Raining","Road-Wet","March","Friday",22,"Dark","40-49"
1190183116,"Pedestrian","Male",42,1,"Pedestrian","Serious",1,"2019-05-24","20:2500","BOR","Single CWY",30,"Other","Fine","Road-Dry","May","Friday",20,"Dark","40-49"
1190190550,"Driver/Rider","Male",28,1,"Powered 2 Wheeler","Slight",2,"2019-06-29","16:5000","TLRN","Unknown",30,"T/STAG JUN","Fine","Road-Dry","June","Saturday",16,"Daylight","20-29"
